Filename,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_std_1,MFCC_std_2,MFCC_std_3,MFCC_std_4,MFCC_std_5,MFCC_std_6,MFCC_std_7,MFCC_std_8,MFCC_std_9,MFCC_std_10,MFCC_std_11,MFCC_std_12,MFCC_std_13,spec_cent_mean,spec_cent_std,spec_bw_mean,spec_bw_std,spec_rolloff_mean,spec_rolloff_std,zcr_mean,zcr_std,rms_mean,rms_std,Patient_ID
101_1b1_Al_sc_Meditron_aug_1.wav,-310.1868,12.881422,14.463756,13.323721,11.800619,10.338386,9.40735,8.154583,6.476898,4.943184,3.9827096,3.0260773,2.1562345,8.6646,10.654829,9.711682,8.6974535,8.173933,7.597369,6.7772555,5.7404003,4.7489095,4.5080075,3.9759095,3.4867852,3.7876813,3516.374256236578,449.2984041788378,2465.046466624229,115.42010411878181,6596.138535031847,225.1927805935452,0.4038272541799363,0.06065319839911883,0.007563409,0.0029929434,101
101_1b1_Al_sc_Meditron_aug_2.wav,-172.2339,8.553476,11.539469,10.829646,9.847333,9.166961,8.47098,7.032076,6.3405533,5.3103185,4.4814806,4.3032265,3.3329062,7.3392177,8.700901,8.699473,8.163554,7.4261684,6.7864513,6.524805,6.0065174,5.0249186,4.4979086,4.075125,3.7050982,3.6683295,3665.0074286777117,344.9871042136848,2440.569129484473,111.4940811510801,6677.099920382166,157.14658303604975,0.423277642316879,0.05349914038989152,0.02568389,0.007619357,101
101_1b1_Al_sc_Meditron_aug_3.wav,-583.24243,139.51038,65.42327,30.098993,31.024305,28.548147,15.722096,10.510252,15.769475,15.305471,6.0635986,1.6915382,6.4135695,40.68662,35.935936,17.749952,11.00553,10.44507,8.822898,7.238813,8.59312,6.2148476,5.344143,5.6545405,4.7864947,4.601751,211.93207104766978,134.52988282641192,661.8841000742052,278.73386661972023,230.8419585987261,324.4750335549764,0.005725641918789809,0.0040349892755021325,0.020004818,0.010028929,101
101_1b1_Al_sc_Meditron_aug_4.wav,-357.22263,34.757248,32.760338,28.549978,24.630322,19.84406,15.834832,13.055263,11.458202,9.432412,6.979284,5.206222,4.707495,13.502391,17.307922,13.995005,11.14336,9.714842,8.090031,6.378588,5.8791404,4.9137316,4.529252,4.3928323,4.1885786,4.0405054,2357.842123846805,747.8903944208084,2492.128026465958,187.06255958294972,5603.702229299363,1036.9427246376472,0.11835999701433121,0.07736467535733917,0.01580575,0.00817547,101
101_1b1_Al_sc_Meditron_aug_5.wav,-257.6569,17.40475,19.896767,18.288822,17.507593,16.610373,14.368211,13.209715,12.128268,11.190376,9.841645,8.581215,8.288151,9.20838,12.912554,11.436172,10.228116,9.5557575,8.942722,8.320275,7.139187,6.5258045,5.103013,5.021864,5.2721505,5.067687,2631.6115106255697,725.3016525881687,2548.502428234383,127.10588604225084,6004.727308917198,601.0260411226183,0.12454592953821655,0.13498665451704392,0.042778667,0.018847706,101
101_1b1_Pr_sc_Meditron_aug_1.wav,-585.9503,102.05502,49.94263,28.345554,34.955444,37.15454,25.896736,17.387321,18.128521,16.4023,8.416176,4.7637324,9.46639,22.765488,14.490417,12.552209,7.8614225,6.06519,6.5884776,6.3712173,6.915322,6.888814,6.456148,4.6634893,3.9675236,3.8733652,127.94563012679873,64.98790556291499,631.9713183835262,152.21228100324743,62.00238853503185,81.92719044677358,0.002233031449044586,0.0011404086133554136,0.037689086,0.013259084,101
101_1b1_Pr_sc_Meditron_aug_2.wav,-237.97542,7.53588,10.675204,10.546449,10.497106,10.278069,9.946835,9.534783,9.322642,8.99146,8.203397,7.6503873,7.180462,5.089233,3.6020052,3.2457924,3.4615185,3.2854848,3.2091613,3.3210604,3.2143776,3.1175475,2.7686915,3.112885,2.7612631,2.6478083,3051.8710796842433,299.7237905780482,2618.3697340262074,48.66569311018241,6407.095939490446,189.27795325186315,0.10639866142515923,0.05345617779269442,0.038405493,0.012723793,101
101_1b1_Pr_sc_Meditron_aug_3.wav,-232.0733,1.7515194,5.582576,5.7863045,5.3361716,4.4521723,4.203595,4.2526884,4.544901,4.188318,3.7973523,3.522226,2.9366465,5.29495,3.577521,3.4949653,3.4925225,3.5295866,2.8080761,2.9109027,3.1852953,3.1489322,2.9694111,3.0134792,2.59221,2.9129312,3914.4476213781318,73.70560841054801,2361.7009863755575,33.91017727808424,6783.339968152866,67.20209211914514,0.4683114798964968,0.03298102670796457,0.010209448,0.0004470635,101
101_1b1_Pr_sc_Meditron_aug_4.wav,-630.8895,109.64747,49.122475,28.699879,35.04433,32.41056,20.735691,16.91131,17.481575,12.560184,7.906687,10.599499,13.795475,21.041079,14.48307,12.678883,6.4016047,7.266929,6.529829,5.861761,5.3043737,6.404899,5.006618,4.472613,3.9215612,4.3242574,152.15793787973485,102.32375155463752,668.3675804449274,196.85281518768633,101.36345541401273,207.16326093449567,0.002512937898089172,0.0013372874150490936,0.019403033,0.0075728046,101
101_1b1_Pr_sc_Meditron_aug_5.wav,-352.1901,21.591679,23.69506,21.67512,20.325655,18.59381,17.184984,16.058697,14.663123,13.785418,12.208832,11.348367,10.571109,5.314949,7.0632005,5.6768823,4.8379493,3.2989652,3.5893297,3.322943,3.2887948,2.8105547,3.238358,3.0748315,3.154364,3.149444,1845.0429640912298,372.7400661412383,2493.1138931685455,128.80426551372815,5273.6863057324845,593.1882323381353,0.03137751293789809,0.017939087420933173,0.03675631,0.012766881,101
102_1b1_Ar_sc_Meditron_aug_1.wav,-261.39575,25.064291,25.157146,22.750257,21.181522,19.089018,16.425339,13.81956,11.133489,9.345899,8.290643,7.2421346,6.214707,8.432153,10.931686,7.8637714,7.2078843,6.2604837,4.3125334,3.6821535,4.5055833,4.343745,5.09559,4.362817,4.508881,4.547971,2164.6536714940466,393.02793815341875,2566.506971946239,103.15422415802867,5671.675955414013,505.72163337439014,0.04744103304140127,0.03082513880127569,0.0614386,0.023615666,102
102_1b1_Ar_sc_Meditron_aug_2.wav,-289.0083,21.922758,22.931168,20.627975,18.861734,17.332539,15.133055,13.112298,11.502275,10.010715,8.461103,7.534042,6.070062,6.849801,9.265357,6.8678026,6.8871956,6.0384665,4.154039,3.9198241,3.8615441,3.697803,4.5481973,4.47068,4.342274,4.1899376,2434.928072830048,363.0029296921213,2613.604225473015,65.06216160565545,5961.584394904458,357.2636436166865,0.05118555931528662,0.027491588484744065,0.035141762,0.013068889,102
102_1b1_Ar_sc_Meditron_aug_3.wav,-243.1548,9.241546,11.777227,11.311906,10.924849,10.736751,10.337853,8.999275,8.162149,7.4781337,6.814352,6.8674083,6.2008767,5.5147376,5.091373,4.3125978,4.28137,3.9217646,3.7251868,3.2606568,3.415555,3.3957276,3.0000317,2.9736528,3.0162666,2.955143,3273.3258105337604,257.1851491911149,2578.604724465764,54.408500781667776,6519.406847133758,143.12567007774234,0.1520203025477707,0.07205297733137428,0.023718428,0.0080955075,102
102_1b1_Ar_sc_Meditron_aug_4.wav,-209.50276,0.030141989,3.4851012,3.5320737,3.5689282,3.4247713,3.4562995,3.13224,3.6588085,3.571961,3.2779596,3.2186515,3.0373337,4.6131673,3.4188185,3.4296472,3.1635642,3.100778,2.8677588,3.062431,2.9533753,2.5458193,2.6376572,2.6500387,2.7034044,2.8508155,3865.1977967215525,81.04137869208587,2384.355215360716,41.56828149766442,6762.141719745223,65.10420258765423,0.4222544287420382,0.049764227899281824,0.014147674,0.0015812478,102
102_1b1_Ar_sc_Meditron_aug_5.wav,-229.2932,7.985221,11.183868,10.802181,10.565183,9.344298,8.926654,8.164676,7.9827204,7.3732443,6.2919097,6.115953,5.743374,3.5501223,4.564997,4.7228055,4.174776,4.112408,4.071792,4.0613136,3.6342554,3.1621938,3.2058215,3.2046945,3.0587478,3.0870178,3367.765038321158,236.7527368799065,2561.990782300704,60.50802425495663,6572.5019904458595,126.64324209892267,0.17576569964171976,0.07876421476017467,0.024215933,0.007875926,102
103_2b2_Ar_mc_LittC2SE_aug_1.wav,-293.82037,45.63607,38.853184,31.82703,28.611378,24.891956,20.092281,16.658754,14.408343,12.7004595,10.14484,9.416691,9.546192,8.020218,10.422693,8.342343,8.520072,5.9670987,4.219963,3.8761835,4.2355194,5.0446286,4.732303,4.972374,4.59727,3.964273,631.4296958158169,232.91703472661817,1648.9524541037702,273.0752994855017,940.9335191082803,1151.5920989200388,0.003996442078025478,0.0022091187282446776,0.32333526,0.1373346,103
103_2b2_Ar_mc_LittC2SE_aug_2.wav,-367.62137,85.68086,45.678936,28.330656,29.05851,26.408445,18.01969,13.926575,13.841371,11.755593,8.564557,8.229727,9.427206,40.300404,31.215664,18.81115,14.22121,10.764272,8.793745,6.382761,5.789719,5.878842,5.956753,5.8117604,4.659649,3.7175233,193.65927521554974,226.55689828729652,706.3904615298359,382.3919907220923,240.64490445859872,541.6460086515983,0.0016141271894904458,0.0018049565519521918,0.38423827,0.20643741,103
103_2b2_Ar_mc_LittC2SE_aug_3.wav,-160.26082,-0.9290375,2.95211,3.3446877,2.497921,1.8297251,1.392399,1.4879886,1.7642572,2.0606515,1.8495159,1.0154716,0.8033145,4.6807265,3.157465,3.4429486,3.2269237,3.0270064,3.2499013,2.9079182,3.2216275,2.8279595,2.7676802,2.9653854,2.7764552,3.1111214,3967.483801664095,63.4812205561702,2327.1220015644685,28.558370044888793,6790.605095541401,64.00846507008127,0.4876592356687898,0.030851882925152233,0.020919759,0.00081917655,103
103_2b2_Ar_mc_LittC2SE_aug_4.wav,-201.05257,6.540283,9.7785425,9.3895645,9.108663,8.817519,8.455522,8.128376,8.332938,7.219935,7.18685,7.0896044,6.7582574,3.88452,3.928557,3.4825006,3.4171011,3.2710404,3.2282221,3.49036,3.4031749,3.4813168,3.1094441,3.2573478,2.9543626,3.3381708,2867.125864410459,411.53755668087376,2624.659357445634,50.65424186801437,6287.121815286624,291.65080553026075,0.07331993929140128,0.04550316282393939,0.08213167,0.04082549,103
